Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1782767167,148573416,55,0,0,0,0.00,1.01
1782767168,148577091,85,0,0,0,0.00,2.27
1782767169,148571996,52,0,0,0,0.00,1.01
1782767170,148571256,41,1,1,0,0.00,0.25
1782767171,148581904,25,0,0,0,0.00,0.75
1782767172,148538676,78,0,3,0,0.00,1.01
1782767173,148568086,110,1,1,0,0.00,1.76
1782767174,148571174,66,0,0,0,0.00,1.50
1782767175,148568097,77,0,0,0,0.00,1.26
1782767176,148571458,59,1,1,0,0.00,1.75
1782767177,148563342,53,1,0,0,0.00,1.76
1782767178,148567133,42,0,0,0,0.00,0.76
1782767179,148566894,55,0,0,0,0.00,0.76
1782767180,148568824,27,1,1,0,0.00,0.50
1782767181,148574224,67,2,3,0,0.00,0.76
1782767182,148566114,73,3,1,0,0.00,1.26
1782767183,148572725,58,0,0,0,0.00,1.01
1782767184,148568953,54,0,0,0,0.00,1.26
1782767185,148568650,46,0,0,0,0.00,0.76
1782767186,148576454,45,0,1,0,0.00,1.26
1782767187,148571582,43,0,1,0,0.00,1.01
1782767188,148598410,59,0,0,0,0.00,1.51
1782767189,148573760,49,0,0,0,0.00,1.51
1782767190,148570185,22,0,0,0,0.00,1.00
1782767191,148570393,73,1,1,0,0.00,0.50
1782767192,148570999,52,0,0,0,0.00,1.25
1782767193,148570128,58,0,0,0,0.00,2.01
1782767194,148570019,54,0,1,0,0.00,1.01
1782767195,148580985,47,1,1,0,0.00,1.01
1782767196,148570474,42,0,1,0,0.00,1.01
1782767197,148579215,41,0,0,0,0.00,1.01
1782767198,148571948,44,1,1,0,0.00,1.50
1782767199,148614402,51,0,0,0,0.00,1.26
1782767200,148573346,27,0,0,0,0.00,1.00
1782767201,148576179,12,0,1,0,0.00,0.75
1782767202,148572014,94,2,1,0,0.00,1.75
1782767203,148572987,44,0,0,0,0.00,1.01
1782767204,148568213,47,2,2,0,0.00,1.26
1782767205,148567586,33,0,0,0,0.00,1.01
1782767206,148567826,64,1,1,0,0.00,1.51
1782767207,148571226,65,1,1,0,0.00,2.01
1782767208,148566846,63,2,2,0,0.00,0.76
1782767209,148573333,38,0,0,0,0.00,1.50
1782767210,148536104,19,0,0,0,0.00,0.25
1782767211,148567139,33,0,0,0,0.00,0.75
1782767212,148569301,48,0,0,0,0.00,1.50
1782767213,148571757,62,1,1,0,0.00,1.51
1782767214,148571955,40,1,1,0,0.00,1.01
1782767215,148568385,47,0,0,0,0.00,0.76
1782767216,148571829,53,0,0,0,0.00,1.75
1782767217,148575515,53,0,0,0,0.00,1.25
1782767218,148574027,62,0,0,0,0.00,1.51
1782767219,148571583,37,0,0,0,0.00,1.01
1782767220,148566100,35,0,0,0,0.00,0.76
1782767221,148566277,66,0,0,0,0.00,0.76
1782767222,148576123,38,0,1,0,0.00,1.50
1782767223,148574805,20,0,0,0,0.00,0.50
1782767224,148567585,28,0,0,0,0.00,0.50
1782767225,148574357,51,1,1,0,0.00,2.00
1782767226,148568767,40,0,0,0,0.00,0.51
1782767227,148568994,49,0,0,0,0.00,0.76
1782767228,148573942,48,0,0,0,0.00,0.76
1782767229,148533820,44,0,1,0,0.00,1.01
1782767230,148572327,54,0,0,0,0.00,1.01
1782767231,148576805,30,0,0,0,0.00,0.75
1782767232,148612778,53,0,0,0,0.00,1.00
1782767233,148572481,84,1,1,0,0.00,1.51
1782767234,148576699,91,1,2,0,0.00,2.01
1782767235,148576316,50,0,0,0,0.00,1.01
1782767236,148556801,67,0,0,0,0.00,1.26
1782767237,148567530,59,0,0,0,0.00,2.00
1782767238,148566418,54,0,0,0,0.00,0.51
1782767239,148565393,31,1,1,0,0.00,0.75
1782767240,148566434,41,1,1,0,0.00,1.25
1782767241,148564697,60,0,0,0,0.00,1.01
1782767242,148564662,37,0,1,0,0.00,1.01
1782767243,148568673,27,2,2,0,0.00,1.00
1782767244,148566676,66,0,0,0,0.00,1.26
1782767245,148568361,50,0,0,0,0.00,2.00
1782767246,148563934,53,0,1,0,0.00,0.51
1782767247,148566939,59,0,0,0,0.00,1.50
1782767248,148569718,50,0,0,0,0.00,1.26
1782767249,148572168,42,0,0,0,0.00,1.01
1782767250,148530746,33,1,1,0,0.00,0.76
1782767251,148566444,58,0,0,0,0.00,1.01
1782767252,148567906,33,1,1,0,0.00,0.50
1782767253,148566538,34,0,0,0,0.00,1.01
1782767254,148535309,66,0,0,0,0.00,1.51
1782767255,148571617,48,0,0,0,0.00,1.01
1782767256,148568376,61,0,0,0,0.00,1.01
1782767257,148526785,43,0,0,0,0.00,1.25
1782767258,148567105,50,0,0,0,0.00,1.26
1782767259,148566783,57,0,0,0,0.00,1.01
1782767260,148566704,46,0,0,0,0.00,1.01
1782767261,148574579,44,0,0,0,0.00,1.26
1782767262,148566707,37,0,0,0,0.00,0.51
1782767263,148533662,47,0,0,0,0.00,1.01
1782767264,148570185,36,0,1,0,0.00,1.01
1782767265,148569191,54,1,0,0,0.00,1.50
1782767266,148566253,48,0,0,0,0.00,1.26
1782767267,148608404,49,0,0,0,0.00,1.01
1782767268,148568611,61,0,1,0,0.00,1.26
1782767269,148620469,49,0,0,0,0.00,1.75
1782767270,148575538,37,0,0,0,0.00,1.01
1782767271,148571946,51,0,0,0,0.00,1.25
1782767272,148574276,45,0,0,0,0.00,0.51
1782767273,148574506,42,0,0,0,0.00,1.01
1782767274,148574720,59,0,0,0,0.00,1.75
1782767275,148571011,60,0,0,0,0.00,1.51
1782767276,148737601,59,1,0,0,0.00,1.01
1782767277,148565577,39,0,0,0,0.00,1.25
1782767278,148564321,54,0,1,0,0.00,1.01
1782767279,148565131,58,0,0,0,0.00,1.01
1782767280,148537592,32,0,0,0,0.00,1.25
1782767281,148574153,82,0,0,0,0.00,1.01
1782767282,148612364,46,1,1,0,0.00,0.76
1782767283,148568684,22,0,0,0,0.00,0.50
1782767284,148564884,52,0,0,0,0.00,1.26
1782767285,148546120,44,1,1,0,0.00,1.50
1782767286,148608226,55,0,0,0,0.00,1.01
1782767287,148569952,71,0,0,0,0.00,1.26
1782767288,148568589,76,0,0,0,0.00,1.27
1782767289,148566898,83,0,0,0,0.00,1.52
1782767290,148572326,29,0,0,0,0.00,0.76
1782767291,148569198,65,0,0,0,0.00,1.75
1782767292,148566262,55,1,1,0,0.00,1.75
1782767293,148573206,57,0,0,0,0.00,1.26
1782767294,148535187,54,1,1,0,0.00,1.26
1782767295,148593351,58,1,1,0,0.00,1.75
1782767296,148575093,39,0,0,0,0.00,1.01
1782767297,148541923,52,0,0,0,0.00,1.01
1782767298,148573426,55,0,0,0,0.00,2.00
1782767299,148566580,55,0,0,0,0.00,1.26
1782767300,148571333,27,0,0,0,0.00,0.50
1782767301,148564456,71,0,0,0,0.00,1.01
1782767302,148566835,51,1,1,0,0.00,1.01
1782767303,148566386,52,0,0,0,0.00,1.26
1782767304,148567016,46,1,1,0,0.00,1.26
1782767305,148570860,46,1,0,0,0.00,1.01
1782767306,148567813,43,0,0,0,0.00,1.01
1782767307,148570481,39,1,1,0,0.00,0.50
1782767308,148567716,35,0,0,0,0.00,0.75
1782767309,148570093,69,1,1,0,0.00,2.01
1782767310,148566674,60,0,1,0,0.00,1.50
1782767311,148574385,60,1,1,0,0.00,0.76
1782767312,148570780,52,0,0,0,0.00,1.75
1782767313,148600389,36,0,0,0,0.00,0.76
1782767314,148568003,40,0,0,0,0.00,1.01
1782767315,148570134,70,0,1,0,0.00,1.51
1782767316,148575739,63,1,1,0,0.00,1.01
1782767317,148568622,47,1,1,0,0.00,1.50
1782767318,148569979,59,0,0,0,0.00,1.51
1782767319,148568926,33,0,0,0,0.00,0.50
1782767320,148607285,52,0,0,0,0.00,1.26
1782767321,148575316,42,0,0,0,0.00,1.50
1782767322,148605990,52,1,1,0,0.00,1.50
1782767323,148574304,47,1,1,0,0.00,0.76
1782767324,148574792,44,0,0,0,0.00,0.76
1782767325,148600109,62,0,0,0,0.00,1.26
1782767326,148566557,57,0,0,0,0.00,1.01
1782767327,148573095,57,0,0,0,0.00,2.00
1782767328,148565191,43,1,1,0,0.00,1.50
1782767329,148599565,50,1,1,0,0.00,1.01
1782767330,148568871,29,0,0,0,0.00,0.50
1782767331,148564830,47,0,0,0,0.00,1.01
1782767332,148568483,76,0,0,0,0.00,1.51
1782767333,148568840,47,1,1,0,0.00,1.50
